Project_ID,CO2_Reduction,Energy_Output,Environmental_Risk_Index,Konteks_Lingkungan,Peringkat_Dampak,Investment_Cost,Revenue_Stream,Debt_Ratio,Payment_Delay,Konteks_Proyek,Status_Rank,GDP_Growth,Interest_Rate,Bond_Yield,Konteks_Ekonomi,Daya_Tarik_Investasi
PLTS-NTB-214,65687,24159,30,Lake Justin: radiasi matahari tinggi,Medium: ★★★☆☆,51.04,4.85,0.49,48,"PLTS di South David, biaya logistik tinggi",High: ★★★★★☆☆☆,5.2,5,5.7,Kennethhaven: pertumbuhan stabil,Medium: 💵💵💵
PLTM-KALTIM-215,17287,11141,66,South Cindyfurt: radiasi matahari tinggi,Medium: ★★★☆☆,247.92,13.74,0.65,10,"PLTM di Caseyport, akses mudah",Low: ★★★★☆☆☆,4.6,3.9,5.7,Joanneville: industri kuat,High: 💵💵💵💵💵
PLTM-MALUKU-216,24479,12761,59,Lake Annetteborough: debit air kuat,High: ★★★★★,204.29,16.74,0.63,45,"PLTM di East Matthewton, permintaan pasar tinggi",High: ★★★☆☆,4.7,4.1,5,North Barrystad: ekonomi agro,Medium: 💵💵💵
PLTA-JABW-217,56215,16521,50,East Christopher: debit air kuat,Medium: ★★★☆☆,148.54,15.23,0.59,56,"PLTA di Katherineburgh, tantangan lahan",Medium: ★★★☆,3.6,4.6,5.3,Lake Thomas: ekonomi agro,High: 💵💵💵💵💵
PLTM-SUMUT-218,30423,10213,68,"Tapanuli: banjir musiman, debit air stabil",Low: ★☆☆☆☆,43.22,6.17,0.71,45,"PLTM di Lake Jonfort, tantangan lahan",Medium: ★★☆,5.2,4,5.1,Margaretshire: ekonomi agro,Medium: 💵💵💵
PLTM-GORONT-219,38647,13935,60,Garrisonland: debit air kuat,Medium: ★★★☆☆,154.48,11.75,0.58,53,"PLTM di Dawnchester, permintaan pasar tinggi",Medium: ★★★★☆,4.8,4.6,5.8,Hudsonmouth: ekonomi agro,High: 💵💵💵💵
PLTA-PAPU-220,20596,20623,47,New Sara: risiko sedang,Medium: ★★☆☆☆,149.06,10.77,0.71,44,"PLTA di South Jackborough, tantangan lahan",High: ★,5.8,3.6,4.7,Frazierville: industri kuat,High: 💵💵💵💵💵
PLTS-SUMUT-221,60425,18101,28,"Tapanuli: banjir musiman, debit air stabil",High: ★★★★☆,193.12,19.13,0.65,36,"PLTS di Danielview, akses mudah",Low: ★☆☆☆,5.6,4.3,5.1,Johnsonstad: industri kuat,Low: 💵💵
PLTB-KALSEL-222,54319,21201,56,New Heatherchester: radiasi matahari tinggi,Low: ★☆☆☆☆,209.45,19.72,0.64,50,"PLTB di Brittanybury, tantangan lahan",High: ★★★★★☆,5.9,4,4.7,New Ruth: pariwisata berkembang,Low: 💵💵
PLTS-NTT-223,72553,21275,28,"Sumba: radiasi matahari tinggi, rawan kekeringan",Medium: ★★★☆☆,142.77,9.16,0.57,28,"PLTS di Robinsonville, biaya logistik tinggi",Low: ★☆☆☆☆,3.5,4.1,5.1,Friedmanport: pariwisata berkembang,High: 💵💵💵💵💵
PLTM-KALSEL-224,29280,13977,64,New Joe: risiko sedang,Medium: ★★☆☆☆,69.62,4.51,0.52,43,"PLTM di Davidborough, permintaan pasar tinggi",Medium: ★☆☆,4.2,4.4,5.3,Lake Amandaland: ekonomi agro,Medium: 💵💵💵
PLTB-JATENG-225,47354,9984,54,North James: risiko sedang,High: ★★★★★,88.04,7.15,0.63,24,"PLTB di Raymondborough, permintaan pasar tinggi",High: ★☆☆☆☆,6.1,3.3,3.4,Welchberg: pertumbuhan stabil,High: 💵💵💵💵
PLTB-JATENG-226,51838,25202,63,North Susanville: debit air kuat,Medium: ★★★☆☆,160.48,11.26,0.68,13,"PLTB di Justinport, biaya logistik tinggi",Medium: ★★★,4.2,4.2,5.4,Port Keithhaven: industri kuat,Low: 💵💵
PLTS-KALB-227,90903,38798,38,South Jon: risiko sedang,Medium: ★★☆☆☆,124.55,9.9,0.42,54,"PLTS di East Nicholasstad, tantangan lahan",Low: ★★★,4.4,3.8,4.6,New Annaborough: ekonomi agro,Low: 💵💵
PLTS-GORONT-228,77285,20887,46,Alanchester: risiko sedang,High: ★★★★★,150.01,11.97,0.57,30,"PLTS di Hoshire, biaya logistik tinggi",High: ★★★★☆☆☆☆,5.1,4.4,5.1,Nicholashaven: industri kuat,High: 💵💵💵💵
PLTM-SULU-229,30393,11088,41,New Karlfurt: risiko sedang,Medium: ★★★☆☆,109.04,7.68,0.69,34,"PLTM di East Joseph, permintaan pasar tinggi",Low: ★,5.2,4.1,5.4,Hallborough: pariwisata berkembang,High: 💵💵💵💵
PLTS-JABAR-230,72939,26952,33,West Christine: cuaca stabil,Medium: ★★★☆☆,163.27,11.16,0.36,14,"PLTS di North Barbara, permintaan pasar tinggi",Medium: ★☆☆,4.9,4.7,6,Lauraborough: pariwisata berkembang,High: 💵💵💵💵💵
PLTB-BANTEN-231,59653,22944,46,East Christinaview: risiko sedang,Medium: ★★★☆☆,159.87,10.81,0.57,34,"PLTB di Port Larryside, tantangan lahan",High: ★★★★☆☆☆☆,5.5,4.6,5.6,East Austinside: industri kuat,High: 💵💵💵💵
PLTA-MALUKU-232,45498,18002,54,Tracybury: risiko sedang,High: ★★★★☆,77.81,2.65,0.54,15,"PLTA di Graybury, permintaan pasar tinggi",High: ★★☆,4,3.7,4.7,Port Justin: industri kuat,Medium: 💵💵💵
PLTA-BALI-233,45467,23809,49,East Aaron: cuaca stabil,Low: ★☆☆☆☆,165.02,15.26,0.49,29,"PLTA di South Christina, tantangan lahan",Low: ★★☆☆☆☆,5.8,4,5.2,Shaunfurt: ekonomi agro,High: 💵💵💵💵
PLTB-PAPU-234,39281,11784,57,Watsonhaven: debit air kuat,Medium: ★★★☆☆,168.82,10.46,0.51,42,"PLTB di Kristyview, tantangan lahan",Medium: ★★★★★☆☆☆☆,5.9,3.4,4.9,Deborahburgh: pertumbuhan stabil,Low: 💵💵
PLTA-MALUKU-235,40993,20553,40,New Scott: debit air kuat,Low: ★☆☆☆☆,180.16,12.45,0.58,36,"PLTA di Patelstad, tantangan lahan",High: ★★,5,3.5,4.7,Lake Joshua: pertumbuhan stabil,High: 💵💵💵💵
PLTM-KALSEL-236,31407,11314,45,Valdezland: debit air kuat,Medium: ★★☆☆☆,21.88,1.67,0.84,27,"PLTM di North Amy, permintaan pasar tinggi",Low: ★★☆,5.6,4,4.9,Jessicahaven: ekonomi agro,Medium: 💵💵💵
PLTB-JABW-237,50224,20188,27,Bishopburgh: radiasi matahari tinggi,Medium: ★★★☆☆,205.72,19.4,0.67,14,"PLTB di New Amberport, permintaan pasar tinggi",High: ★★★★,5.4,4,5.2,Donaldburgh: ekonomi agro,High: 💵💵💵💵💵
PLTM-MALUKU-238,39142,10937,49,New Destinyview: debit air kuat,Medium: ★★☆☆☆,155.09,17.21,0.48,29,"PLTM di Christinaside, biaya logistik tinggi",High: ★★★★☆☆,3.8,4.1,5.1,North Bryanview: pariwisata berkembang,Medium: 💵💵💵
PLTA-BANTEN-239,51733,18975,41,West Autumn: debit air kuat,High: ★★★★☆,224.49,10.77,0.52,51,"PLTA di West Eddieshire, akses mudah",High: ★★☆,4.9,3.2,4.1,East Joshuaville: ekonomi agro,Medium: 💵💵💵
PLTM-BALI-240,46630,12062,57,West Danielmouth: debit air kuat,High: ★★★★★,86.99,5.89,0.56,28,"PLTM di Ashleystad, tantangan lahan",Medium: ★★★★☆☆,4.7,4.6,5.8,Margarettown: industri kuat,Medium: 💵💵💵
PLTM-KALB-241,27219,12739,59,Maciasview: risiko sedang,High: ★★★★☆,207.01,23.1,0.5,45,"PLTM di Melissamouth, biaya logistik tinggi",Low: ★★★★☆☆,4.4,3.4,4.3,Lake Christina: pariwisata berkembang,High: 💵💵💵💵💵
PLTB-JATIM-242,54663,21949,43,New Kirstenborough: debit air kuat,Medium: ★★☆☆☆,134.01,11.13,0.52,29,"PLTB di West Emily, akses mudah",High: ★★★★☆,6.7,3.2,4.3,Corytown: ekonomi agro,High: 💵💵💵💵
PLTB-JATIM-243,70236,18027,42,Salasmouth: debit air kuat,Medium: ★★★☆☆,132.13,10.09,0.74,44,"PLTB di Steveland, tantangan lahan",Medium: ★★★★★,3.2,4.8,5.4,Holtchester: pertumbuhan stabil,High: 💵💵💵💵
PLTS-JATIM-244,71000,22853,40,North Robert: risiko sedang,High: ★★★★☆,70.09,6.26,0.8,32,"PLTS di Ramirezmouth, akses mudah",High: ★★★★☆☆,3.9,4.1,4.9,Brownside: pertumbuhan stabil,High: 💵💵💵💵
PLTS-DIY-245,81388,25095,28,New Kimberly: cuaca stabil,Low: ★☆☆☆☆,174.39,20.24,0.58,24,"PLTS di Colemantown, akses mudah",Medium: ★★★★★,5.6,3.4,4.1,Haleville: pariwisata berkembang,Medium: 💵💵💵
PLTA-SULS-246,54724,23936,50,Smithborough: cuaca stabil,Medium: ★★★☆☆,134.35,10.75,0.47,28,"PLTA di New Dylan, tantangan lahan",High: ★★☆☆,5.5,4.4,5.3,Elizabethshire: pertumbuhan stabil,Low: 💵💵
PLTA-SULU-247,45299,19063,38,Matthewbury: debit air kuat,High: ★★★★☆,146.69,17.9,0.58,43,"PLTA di Melvinstad, tantangan lahan",Medium: ★★★★☆☆,4.7,3.7,4.9,Brittanyland: ekonomi agro,Medium: 💵💵💵
PLTA-JATIM-248,48187,15402,64,West Richard: cuaca stabil,High: ★★★★☆,220.98,15.02,0.41,17,"PLTA di West Gloriaberg, biaya logistik tinggi",High: ★★☆☆☆,5.8,3.7,4.9,Florestown: ekonomi agro,High: 💵💵💵💵
PLTM-KALSEL-249,21209,14677,42,Lake Ginamouth: risiko sedang,Medium: ★★★☆☆,186.54,14.98,0.5,37,"PLTM di Lewismouth, tantangan lahan",High: ★★☆☆☆,4.7,4.3,5.3,Haleberg: industri kuat,High: 💵💵💵💵
PLTB-DIY-250,55844,25905,21,North Matthewborough: cuaca stabil,High: ★★★★☆,230.86,18.95,0.51,22,"PLTB di West Corey, tantangan lahan",High: ★★☆☆☆,3.9,3.9,5.2,Kathleenchester: pariwisata berkembang,Medium: 💵💵💵
PLTS-JABW-251,73086,32555,20,Port Anthonyland: cuaca stabil,High: ★★★★☆,149.4,8.21,0.64,44,"PLTS di Leonardshire, akses mudah",Medium: ★☆☆,5.7,3.8,4,East Cheryl: ekonomi agro,Medium: 💵💵💵
PLTA-KALTIM-252,51989,19746,51,Port Felicia: debit air kuat,High: ★★★★☆,211.79,12.41,0.67,47,"PLTA di Matthewmouth, biaya logistik tinggi",Medium: ★★★★★☆☆☆,6,3.1,4.2,West Jeremy: ekonomi agro,Medium: 💵💵💵
PLTS-SULU-253,67437,24592,38,North Jessicamouth: risiko sedang,Medium: ★★★☆☆,125.64,8.35,0.6,25,"PLTS di Wayneburgh, permintaan pasar tinggi",High: ★★,4.1,3.5,4.7,Susanbury: pertumbuhan stabil,Medium: 💵💵💵
PLTB-JATENG-254,38512,20665,51,New Carolyn: risiko sedang,Medium: ★★★☆☆,63.71,4.23,0.72,37,"PLTB di Hortonport, akses mudah",High: ★★,4.2,3.8,4.9,East Michelle: pariwisata berkembang,High: 💵💵💵💵
PLTB-PAPU-255,57833,16993,36,New Dakota: radiasi matahari tinggi,Medium: ★★☆☆☆,221.12,25.38,0.7,30,"PLTB di Jessicaside, tantangan lahan",Low: ★★★★☆☆☆,5.1,3.6,4.4,Davidchester: pertumbuhan stabil,High: 💵💵💵💵💵
PLTB-NTB-256,55225,19673,66,West Nicholasburgh: debit air kuat,Medium: ★★★☆☆,182.52,9.11,0.71,41,"PLTB di Brittanyville, tantangan lahan",Low: ★★★★★☆☆☆☆,4.2,3.8,4.9,Sullivanborough: pariwisata berkembang,Medium: 💵💵💵
PLTA-ACHD-257,69956,30439,54,West Regina: cuaca stabil,Medium: ★★☆☆☆,140.84,12.77,0.69,44,"PLTA di Harriston, permintaan pasar tinggi",High: ★★★★,4.7,4.9,6,Collinsstad: industri kuat,High: 💵💵💵💵
PLTS-KALSEL-258,82466,28329,39,East Anthonychester: cuaca stabil,Medium: ★★☆☆☆,191.95,12.99,0.54,44,"PLTS di Jasonfurt, permintaan pasar tinggi",Medium: ★★★★★☆☆☆,4.1,4.2,5.4,Joanside: pertumbuhan stabil,High: 💵💵💵💵
PLTS-DIY-259,81866,33372,34,East Matthewport: risiko sedang,Medium: ★★☆☆☆,183.44,10.67,0.56,12,"PLTS di Tiffanyberg, tantangan lahan",Low: ★★★★☆☆☆☆,5.6,4.4,5.3,Lake Casey: ekonomi agro,Medium: 💵💵💵
PLTM-ACHD-260,34498,7446,51,East Dustinview: radiasi matahari tinggi,High: ★★★★★,194.52,17.8,0.65,49,"PLTM di Carrollport, tantangan lahan",Low: ★★☆☆☆☆,5,4,4.8,South Markland: industri kuat,High: 💵💵💵💵
PLTA-GORONT-261,56988,19683,52,Carpentertown: radiasi matahari tinggi,Medium: ★★★☆☆,123.7,4.57,0.71,20,"PLTA di Sarafurt, permintaan pasar tinggi",Medium: ★★★★★☆☆☆☆,4.6,3.6,4.8,Fitzgeraldbury: ekonomi agro,Medium: 💵💵💵
PLTB-SULS-262,46079,22239,54,Michaelborough: cuaca stabil,High: ★★★★★,184.18,9.7,0.72,51,"PLTB di Warebury, akses mudah",High: ★★★☆☆☆,5.2,3.8,4.8,Elliottfurt: industri kuat,Medium: 💵💵💵
PLTB-JATENG-263,32237,19634,29,Markberg: risiko sedang,Medium: ★★★☆☆,82.37,4.08,0.71,27,"PLTB di Robertchester, tantangan lahan",High: ★☆,4.5,4.8,5.6,Kylechester: pariwisata berkembang,Medium: 💵💵💵
PLTA-KALSEL-264,32926,13533,63,Mclaughlinside: radiasi matahari tinggi,Medium: ★★★☆☆,142.21,9.82,0.62,41,"PLTA di Daybury, permintaan pasar tinggi",High: ★☆,5.4,4.6,6,Garciaport: pertumbuhan stabil,High: 💵💵💵💵💵
PLTS-JABAR-265,69603,18369,30,Rojasbury: debit air kuat,Medium: ★★☆☆☆,163.01,9.9,0.5,37,"PLTS di East Pennybury, akses mudah",Medium: ★★★,5.3,4,5,North Charlene: pariwisata berkembang,Medium: 💵💵💵
PLTM-GORONT-266,29690,11308,45,Brownview: debit air kuat,High: ★★★★☆,194.51,19.59,0.42,53,"PLTM di New Henryborough, biaya logistik tinggi",Medium: ★☆☆☆☆,4.3,3.3,4.1,East Gregory: pertumbuhan stabil,Low: 💵💵
PLTB-PAPU-267,49165,12201,31,Cartershire: debit air kuat,Low: ★☆☆☆☆,99.8,8.4,0.61,37,"PLTB di South Tonya, akses mudah",Medium: ★★☆☆,4.4,4.1,4.9,East Katelyn: industri kuat,High: 💵💵💵💵💵
PLTA-JATIM-268,47283,24693,65,Scottside: radiasi matahari tinggi,Low: ★☆☆☆☆,85.02,8.21,0.68,52,"PLTA di South Jessicaton, akses mudah",Medium: ★★☆,4.1,4.4,5.9,Obrientown: pertumbuhan stabil,Medium: 💵💵💵
PLTS-JATIM-269,58161,20412,45,North Rebecca: cuaca stabil,Medium: ★★☆☆☆,163.57,14.89,0.63,14,"PLTS di Thomasshire, akses mudah",Medium: ★☆☆☆☆,5.3,3.3,4.6,Simpsonfurt: industri kuat,High: 💵💵💵💵
PLTS-BALI-270,92543,23853,34,Collierfort: debit air kuat,High: ★★★★☆,73.44,6.63,0.66,40,"PLTS di Brucestad, biaya logistik tinggi",High: ★☆☆☆☆,5,4.6,5.5,Lake Jameschester: industri kuat,Medium: 💵💵💵
PLTA-BALI-271,55646,13921,44,Hallstad: radiasi matahari tinggi,Medium: ★★☆☆☆,141.28,11.94,0.56,59,"PLTA di Jessicaburgh, akses mudah",High: ★,4.9,4.4,5.3,Port Lawrenceside: industri kuat,Low: 💵💵
PLTB-PAPU-272,33934,24998,65,Cruzburgh: radiasi matahari tinggi,High: ★★★★☆,85.39,8.01,0.55,50,"PLTB di North Jesse, akses mudah",Medium: ★★☆☆☆☆,5.2,4.1,5,North Paulside: pariwisata berkembang,High: 💵💵💵💵
PLTM-KALB-273,29513,9928,45,Port Karen: cuaca stabil,Medium: ★★★☆☆,108.41,8.53,0.53,34,"PLTM di Lake Jeremy, permintaan pasar tinggi",Low: ★★☆☆,5.5,4.7,5.5,Lake Rachel: pariwisata berkembang,Medium: 💵💵💵
PLTM-JATIM-274,36675,13499,59,Nolanland: radiasi matahari tinggi,High: ★★★★☆,153.8,14.59,0.65,54,"PLTM di Christianhaven, biaya logistik tinggi",High: ★★★★★☆☆☆,4,4.4,5.7,Lake Marystad: ekonomi agro,Medium: 💵💵💵
PLTA-JATENG-275,42367,18151,55,Keithton: cuaca stabil,High: ★★★★☆,139.53,14.16,0.84,60,"PLTA di Kennethshire, akses mudah",Low: ★★★★,4.4,3.3,4.4,New Adamchester: pariwisata berkembang,Medium: 💵💵💵
PLTS-JATIM-276,85823,23845,49,New Williammouth: radiasi matahari tinggi,High: ★★★★★,83.07,7.8,0.54,18,"PLTS di Jasonhaven, tantangan lahan",High: ★★☆,6.4,5,5.8,East Brettstad: pariwisata berkembang,Medium: 💵💵💵
PLTS-JATIM-277,66756,29297,31,Adamsfurt: cuaca stabil,Low: ★☆☆☆☆,147.73,11.89,0.41,23,"PLTS di North Mark, biaya logistik tinggi",Medium: ★★★★★☆☆,5,3.7,4.6,West Timothyton: pertumbuhan stabil,High: 💵💵💵💵💵
PLTB-KALSEL-278,64436,12973,57,North Matthewview: debit air kuat,High: ★★★★☆,136.05,10.12,0.68,15,"PLTB di Laurenberg, akses mudah",Low: ★★★★★☆☆☆,5.3,4.3,5.6,Port Christopher: ekonomi agro,Low: 💵💵
PLTA-SULS-279,46686,15551,28,Katherineshire: debit air kuat,Medium: ★★★☆☆,108.73,15.11,0.72,58,"PLTA di Brooksburgh, biaya logistik tinggi",High: ★★☆☆☆☆,3.9,3.3,4.4,North Franklinberg: ekonomi agro,High: 💵💵💵💵
PLTS-ACHD-280,83208,27744,32,West Stuart: debit air kuat,Medium: ★★☆☆☆,143.73,12.44,0.61,49,"PLTS di South Rachael, biaya logistik tinggi",High: ★★☆☆☆☆,3.2,3.9,4.6,Patrickfurt: ekonomi agro,High: 💵💵💵💵
PLTM-NTT-281,36226,20955,58,"Sumba: radiasi matahari tinggi, rawan kekeringan",Medium: ★★☆☆☆,134.32,13.22,0.65,32,"PLTM di New Shelbyfort, permintaan pasar tinggi",High: ★★★☆☆☆☆,5.3,4.3,5.9,South David: industri kuat,Medium: 💵💵💵
PLTA-NTT-282,38691,19894,31,"Sumba: radiasi matahari tinggi, rawan kekeringan",Medium: ★★☆☆☆,177.78,10.96,0.56,14,"PLTA di North Amyberg, permintaan pasar tinggi",High: ★★★☆☆☆☆,4.8,4.5,5.8,East Tony: pertumbuhan stabil,Medium: 💵💵💵
PLTM-KALTIM-283,26279,12164,47,North David: radiasi matahari tinggi,Medium: ★★☆☆☆,87.07,6.59,0.57,59,"PLTM di South Tracie, biaya logistik tinggi",High: ★☆☆☆☆,6.9,4.2,4.8,Port Scott: pertumbuhan stabil,Medium: 💵💵💵
PLTM-NTT-284,31046,15064,75,"Sumba: radiasi matahari tinggi, rawan kekeringan",Medium: ★★★☆☆,70.7,3,0.79,34,"PLTM di Lake Davidville, akses mudah",Low: ★★★★★☆,5.3,3.6,4.8,New Marymouth: industri kuat,High: 💵💵💵💵💵
PLTA-ACHD-285,23642,18013,49,Lake Justintown: risiko sedang,Medium: ★★★☆☆,196.21,11.72,0.61,56,"PLTA di West Danielletown, permintaan pasar tinggi",High: ★★★☆☆☆☆,4.3,4.1,4.8,Timothystad: ekonomi agro,High: 💵💵💵💵💵
PLTS-KALSEL-286,68878,20020,41,North Darlene: risiko sedang,Medium: ★★☆☆☆,192.92,14.53,0.6,43,"PLTS di Leebury, biaya logistik tinggi",Medium: ★★★☆☆,3.8,3.9,4.9,North Frankfurt: pariwisata berkembang,Low: 💵💵
PLTS-BALI-287,114311,19440,49,South Matthew: debit air kuat,Low: ★☆☆☆☆,199.84,17.11,0.78,22,"PLTS di New Alejandro, permintaan pasar tinggi",Low: ★★★★☆☆,5.3,4.2,5.2,Gomezfurt: ekonomi agro,High: 💵💵💵💵
PLTB-GORONT-288,62235,22385,35,South David: risiko sedang,High: ★★★★☆,84.04,6.38,0.52,44,"PLTB di North Eric, akses mudah",Medium: ★☆☆☆,4.9,4.6,5.5,East Robert: industri kuat,Low: 💵💵
PLTA-SULTRA-289,49571,18232,57,New Laurieburgh: cuaca stabil,High: ★★★★★,37.66,2.56,0.62,10,"PLTA di Natashaberg, tantangan lahan",High: ★★☆,6,3.8,4.2,Davidhaven: ekonomi agro,Low: 💵💵
PLTS-KALTIM-290,84295,21823,23,Anthonyhaven: risiko sedang,High: ★★★★☆,118.78,9.06,0.54,15,"PLTS di West Williammouth, biaya logistik tinggi",High: ★★★★☆☆,3.2,4.4,5.8,South Megan: industri kuat,High: 💵💵💵💵💵
PLTS-BANTEN-291,84772,19311,32,South Michaelhaven: cuaca stabil,Medium: ★★★☆☆,149.67,13.77,0.67,50,"PLTS di Susanmouth, tantangan lahan",Low: ★★★★☆☆☆,4.4,4,5.1,Davidberg: pertumbuhan stabil,High: 💵💵💵💵
PLTA-ACHD-292,64558,20818,56,Jacksonburgh: radiasi matahari tinggi,High: ★★★★★,154.19,16.68,0.64,35,"PLTA di Julieview, permintaan pasar tinggi",Low: ★☆☆☆,4.3,4.7,5.9,Jasonside: ekonomi agro,Medium: 💵💵💵
PLTS-SULS-293,68354,22602,37,Scottborough: risiko sedang,Medium: ★★☆☆☆,173.16,14.54,0.63,38,"PLTS di South Kayla, tantangan lahan",High: ★★★☆☆☆,6.4,4.5,5.6,Joycemouth: ekonomi agro,Medium: 💵💵💵
PLTA-BANTEN-294,59413,13869,50,New Sydney: debit air kuat,Medium: ★★☆☆☆,240.47,18.19,0.52,17,"PLTA di North Ericchester, biaya logistik tinggi",Medium: ★★★★★☆☆☆☆,4.5,3.5,4.3,East Brandonburgh: industri kuat,High: 💵💵💵💵💵
PLTA-NTB-295,46294,12377,45,West Natalie: risiko sedang,Low: ★☆☆☆☆,195.11,12.07,0.75,25,"PLTA di Leonardberg, permintaan pasar tinggi",High: ★★★☆☆,5.4,4.5,5.3,Lake Briana: pariwisata berkembang,High: 💵💵💵💵
PLTS-PAPU-296,87817,19540,43,Rachelchester: debit air kuat,High: ★★★★★,158.59,14.44,0.48,45,"PLTS di Kellyburgh, akses mudah",Low: ★☆☆☆☆,4.3,4.3,5,Seanborough: pertumbuhan stabil,Medium: 💵💵💵
PLTM-SUMUT-297,38242,7898,63,"Tapanuli: banjir musiman, debit air stabil",Medium: ★★☆☆☆,88.37,8.05,0.66,35,"PLTM di South David, permintaan pasar tinggi",Medium: ★☆☆☆☆,4.4,4.3,5.4,Jenniferberg: pertumbuhan stabil,High: 💵💵💵💵
PLTM-JATIM-298,31228,8974,35,North Erin: debit air kuat,High: ★★★★☆,167.48,8.16,0.61,15,"PLTM di Heatherstad, permintaan pasar tinggi",Medium: ★☆☆☆,4.8,4.3,5.2,West Toddview: pertumbuhan stabil,Low: 💵💵
PLTB-GORONT-299,46705,20927,50,North Amandahaven: debit air kuat,Medium: ★★★☆☆,165.81,14.82,0.45,34,"PLTB di West Kevinton, tantangan lahan",Low: ★★★☆☆,5.6,4.3,5,Gonzalezberg: industri kuat,Medium: 💵💵💵
PLTM-BANTEN-300,33291,11882,53,Joanneborough: cuaca stabil,High: ★★★★☆,166.69,18.11,0.71,49,"PLTM di Port James, akses mudah",High: ★★★★☆☆☆☆,4,4.3,5.7,New Destiny: ekonomi agro,Medium: 💵💵💵
PLTA-JATIM-301,53868,22363,75,Lake Jason: debit air kuat,Medium: ★★☆☆☆,201.19,17.1,0.7,22,"PLTA di Meyertown, akses mudah",High: ★★★☆,5.1,4,4.9,Richardtown: pertumbuhan stabil,High: 💵💵💵💵💵
PLTB-SULTRA-302,65634,14726,67,Port Michelleview: radiasi matahari tinggi,High: ★★★★★,174.99,9.1,0.64,42,"PLTB di Patrickside, permintaan pasar tinggi",Low: ★★★,3.3,4.3,5.6,Lake Catherine: pariwisata berkembang,Medium: 💵💵💵
PLTS-ACHD-303,66114,25617,54,Tinaberg: radiasi matahari tinggi,Low: ★☆☆☆☆,124.71,7.34,0.75,40,"PLTS di South Stevenborough, permintaan pasar tinggi",Low: ★★☆☆☆,6.6,4,5.3,Mariaborough: industri kuat,High: 💵💵💵💵💵
PLTS-JABW-304,95122,21287,30,South Cherylmouth: risiko sedang,Medium: ★★★☆☆,211.54,24.05,0.66,34,"PLTS di North Mary, permintaan pasar tinggi",High: ★★★☆☆,4.3,5,5.8,West Amandatown: industri kuat,Medium: 💵💵💵
PLTS-GORONT-305,69972,26711,50,Dyerchester: radiasi matahari tinggi,High: ★★★★★,192.7,17.01,0.65,46,"PLTS di West Maryside, akses mudah",Medium: ★★★★★☆☆,5,4.3,4.5,New Jennifer: industri kuat,High: 💵💵💵💵💵
PLTB-PAPU-306,47033,18965,27,Robinsonville: cuaca stabil,Low: ★☆☆☆☆,169.32,12.85,0.78,24,"PLTB di Benjaminstad, akses mudah",Low: ★★★,6.3,3.8,4.8,Port Lindseyside: pertumbuhan stabil,High: 💵💵💵💵
PLTM-NTB-307,34482,10645,56,South Davidshire: radiasi matahari tinggi,High: ★★★★☆,112.09,6.43,0.66,30,"PLTM di Bryanborough, biaya logistik tinggi",High: ★★☆☆☆☆,5.5,3.6,4.9,Port Francis: pertumbuhan stabil,Low: 💵💵
PLTA-KALSEL-308,43684,19012,57,Shawnfort: cuaca stabil,Medium: ★★★☆☆,148.32,13.21,0.55,52,"PLTA di Cookland, tantangan lahan",Medium: ★★☆☆☆,4.8,3.9,4.7,Tiffanyburgh: pertumbuhan stabil,Medium: 💵💵💵
PLTB-DIY-309,48232,11805,37,Youngstad: radiasi matahari tinggi,Medium: ★★☆☆☆,135.76,10.17,0.58,45,"PLTB di Port Scottville, permintaan pasar tinggi",Low: ★★★★☆☆,5,4.2,5.5,West Adambury: industri kuat,High: 💵💵💵💵
PLTM-SULU-310,30451,8390,44,Mendezmouth: risiko sedang,High: ★★★★☆,125.64,9.17,0.52,54,"PLTM di Annafurt, tantangan lahan",Medium: ★★★★★☆☆☆,4,3.8,4.9,Bishoptown: pertumbuhan stabil,Medium: 💵💵💵
PLTS-GORONT-311,83925,22212,30,Fitzpatrickside: debit air kuat,Medium: ★★☆☆☆,103.67,8.23,0.52,57,"PLTS di Curryside, biaya logistik tinggi",Medium: ★★☆☆☆☆,5.5,3.1,4,New Stephenborough: industri kuat,Medium: 💵💵💵
PLTB-BALI-312,53011,18735,80,East David: cuaca stabil,Medium: ★★☆☆☆,167.49,10.04,0.59,25,"PLTB di Emilyville, biaya logistik tinggi",Low: ★☆☆☆☆,3.6,4,4.8,Port Natalie: ekonomi agro,Medium: 💵💵💵
PLTB-JATENG-313,59153,15801,43,Lake Christopher: debit air kuat,High: ★★★★★,118.22,13.57,0.57,36,"PLTB di North Kristen, tantangan lahan",Medium: ★☆,6.5,4.4,5.5,Kathyview: pariwisata berkembang,Medium: 💵💵💵
PLTM-GORONT-314,37581,13181,35,East Jeffchester: risiko sedang,Medium: ★★★☆☆,136.06,13.18,0.6,12,"PLTM di Andrewsbury, permintaan pasar tinggi",Low: ★☆☆,3.9,4,5.5,North Jenniferhaven: pertumbuhan stabil,Medium: 💵💵💵
PLTB-PAPU-315,62468,17751,59,Solomonberg: risiko sedang,High: ★★★★☆,131.67,6.05,0.51,45,"PLTB di Suzannefurt, biaya logistik tinggi",High: ★★★★☆☆☆☆,6.3,3.9,4.8,East Brittanyberg: ekonomi agro,High: 💵💵💵💵
